pin,slack
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0][7]:Q,16069
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][3]:ALn,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][3]:CLK,14528
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][3]:D,17000
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][3]:EN,13315
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][3]:Q,14528
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_75:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_75:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_3:A,10576
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_3:IPA,10576
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_3:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_31:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_31:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_187:IPA,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0][5]:ALn,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0][5]:CLK,13599
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0][5]:D,17062
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0][5]:EN,13369
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0][5]:Q,13599
CoreAPB3_C3_0/CoreAPB3_C3_0/iPSELS[0]:A,13130
CoreAPB3_C3_0/CoreAPB3_C3_0/iPSELS[0]:B,12074
CoreAPB3_C3_0/CoreAPB3_C3_0/iPSELS[0]:C,13258
CoreAPB3_C3_0/CoreAPB3_C3_0/iPSELS[0]:D,13104
CoreAPB3_C3_0/CoreAPB3_C3_0/iPSELS[0]:Y,12074
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_124:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_124:IPB,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GPOUT.un20_GPIO_OUT_i:A,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GPOUT.un20_GPIO_OUT_i:B,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GPOUT.un20_GPIO_OUT_i:Y,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_180:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_121:IPA,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][6]:ALn,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][6]:CLK,13619
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][6]:D,17026
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][6]:EN,13315
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][6]:Q,13619
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_194:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_194:IPB,
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o19lto5_3:A,11248
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o19lto5_3:B,11138
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o19lto5_3:C,11073
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o19lto5_3:D,11018
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o19lto5_3:Y,11018
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_247:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_247:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_108:IPA,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.edge_both[0]:ALn,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.edge_both[0]:CLK,14675
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.edge_both[0]:D,15716
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.edge_both[0]:EN,11841
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.edge_both[0]:Q,14675
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_205:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_205:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_205:IPC,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_156:IPA,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.INTR_reg_36[0]:A,17638
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.INTR_reg_36[0]:B,13920
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.INTR_reg_36[0]:C,15716
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.INTR_reg_36[0]:D,11771
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.INTR_reg_36[0]:Y,11771
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_138:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_138:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_235:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_235:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_165:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_165:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_112:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_112:IPB,
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[6]:A,16633
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[6]:B,16534
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[6]:C,14737
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[6]:Y,14737
GPIO_OUT_obuf[0]/U0/U_IOOUTFF:A,
GPIO_OUT_obuf[0]/U0/U_IOOUTFF:Y,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_50:IPA,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.edge_pos[0]:ALn,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.edge_pos[0]:CLK,13873
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.edge_pos[0]:D,15716
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.edge_pos[0]:EN,11841
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.edge_pos[0]:Q,13873
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_147:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_147:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_270:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_270:IPB,
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[3]:A,16568
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[3]:B,16468
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[3]:C,14710
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[3]:Y,14710
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_113:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_113:IPB,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_INT.un20_intr_u:A,16014
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_INT.un20_intr_u:B,15969
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_INT.un20_intr_u:C,13507
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_INT.un20_intr_u:D,13365
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_INT.un20_intr_u:Y,13365
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_53:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_53:IPB,
CoreAPB3_C3_0/CoreAPB3_C3_0/iPSELS_1[0]:A,12074
CoreAPB3_C3_0/CoreAPB3_C3_0/iPSELS_1[0]:B,12177
CoreAPB3_C3_0/CoreAPB3_C3_0/iPSELS_1[0]:Y,12074
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_223:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_223:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_140:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_140:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST_RNINQSR7/U0:An,
DUMMY1_MSS_0/MSS_ADLIB_INST_RNINQSR7/U0:YNn,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_48:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_257:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_257:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_222:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_222:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_157:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_88:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_88:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_28:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_28:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_260:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_260:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_9:A,13525
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_9:IPA,13525
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_9:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_105:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_105:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_91:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_91:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_150:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_150:IPB,
CoreGPIO_C0_0/CoreGPIO_C0_0/INT_OR:A,13599
CoreGPIO_C0_0/CoreGPIO_C0_0/INT_OR:B,13365
CoreGPIO_C0_0/CoreGPIO_C0_0/INT_OR:Y,13365
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_7:A,13440
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_7:IPA,13440
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_7:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_71:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_271:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_271:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_224:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_224:IPB,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0]2_1:A,14420
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0]2_1:B,14345
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0]2_1:C,14346
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_GEN.CONFIG_reg[0]2_1:Y,14345
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_44:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_44:IPB,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_INT.un9_intr_3_2_0:A,13873
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_INT.un9_intr_3_2_0:B,13781
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_INT.un9_intr_3_2_0:C,13711
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_INT.un9_intr_3_2_0:D,13599
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].REG_INT.un9_intr_3_2_0:Y,13599
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[5]:A,16533
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[5]:B,16441
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[5]:C,14653
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[5]:Y,14653
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][7]:ALn,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][7]:CLK,13365
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][7]:D,16572
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][7]:EN,13315
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][7]:Q,13365
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_135:B,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_135:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_135:IPB,
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[7]:A,16643
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[7]:B,14823
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[7]:C,16499
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[7]:Y,14823
CoreGPIO_C0_0/CoreGPIO_C0_0/edge_neg_2_sqmuxa_i:A,17487
CoreGPIO_C0_0/CoreGPIO_C0_0/edge_neg_2_sqmuxa_i:B,16350
CoreGPIO_C0_0/CoreGPIO_C0_0/edge_neg_2_sqmuxa_i:C,11841
CoreGPIO_C0_0/CoreGPIO_C0_0/edge_neg_2_sqmuxa_i:Y,11841
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][5]:ALn,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][5]:CLK,13459
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][5]:D,17062
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][5]:EN,13315
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].REG_GEN.CONFIG_reg[1][5]:Q,13459
CoreGPIO_C0_0/CoreGPIO_C0_0/edge_both_2_sqmuxa_1_i:A,17487
CoreGPIO_C0_0/CoreGPIO_C0_0/edge_both_2_sqmuxa_1_i:B,16299
CoreGPIO_C0_0/CoreGPIO_C0_0/edge_both_2_sqmuxa_1_i:C,11841
CoreGPIO_C0_0/CoreGPIO_C0_0/edge_both_2_sqmuxa_1_i:Y,11841
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_276:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_276:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_276:IPC,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_249:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_249:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_37:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_116:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_116:IPB,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].APB_8.edge_both_22_iv_i[1]:A,17583
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].APB_8.edge_both_22_iv_i[1]:B,17538
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].APB_8.edge_both_22_iv_i[1]:C,15740
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].APB_8.edge_both_22_iv_i[1]:D,16232
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[1].APB_8.edge_both_22_iv_i[1]:Y,15740
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_68:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_68:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_84:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_84:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_24:IPA,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].gpin3[0]:ALn,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].gpin3[0]:CLK,14967
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].gpin3[0]:D,18632
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].gpin3[0]:Q,14967
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_128:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_128:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_225:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_225:IPB,
CoreGPIO_C0_0/CoreGPIO_C0_0/edge_neg_2_sqmuxa_1_i:A,17487
CoreGPIO_C0_0/CoreGPIO_C0_0/edge_neg_2_sqmuxa_1_i:B,16350
CoreGPIO_C0_0/CoreGPIO_C0_0/edge_neg_2_sqmuxa_1_i:C,11841
CoreGPIO_C0_0/CoreGPIO_C0_0/edge_neg_2_sqmuxa_1_i:Y,11841
OSC_C0_0/OSC_C0_0/I_RCOSC_25_50MHZ_FAB_CLKINT/U0_RGB1:An,
OSC_C0_0/OSC_C0_0/I_RCOSC_25_50MHZ_FAB_CLKINT/U0_RGB1:YL,
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[4]:A,16496
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[4]:B,16396
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[4]:C,14575
CoreGPIO_C0_0/CoreGPIO_C0_0/CONFIG_reg_o_2_cZ[4]:Y,14575
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_45:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_45:IPB,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.INTR_reg[0]:ALn,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.INTR_reg[0]:CLK,15197
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.INTR_reg[0]:D,11771
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.INTR_reg[0]:Q,15197
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_261:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_261:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_198:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_198:IPB,
GPIO_OUT_obuf[1]/U0/U_IOENFF:A,
GPIO_OUT_obuf[1]/U0/U_IOENFF:Y,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_200:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_200:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_52:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_52:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_172:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_172:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_217:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_217:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_217:IPC,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_266:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_266:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_259:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_259:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_59:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_230:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_230:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_173:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_173:IPB,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_36:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_64:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_64:IPB,
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.edge_neg13:A,16338
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.edge_neg13:B,16232
CoreGPIO_C0_0/CoreGPIO_C0_0/xhdl1.GEN_BITS[0].APB_8.edge_neg13:Y,16232
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_85:IPA,
DUMMY1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_85:IPB,
